起点ID,起点类型,关系名称,终点ID,终点类型,示例
eae647c5c110,诗文实体,属于形式,be6715edcbe7db8f,形式实体,使至塞上 → 属于形式 → 诗
76a124fc2fb8,诗文实体,属于形式,c809738f22126c36,形式实体,渔家傲·秋思 → 属于形式 → 词
a60e7fd3031b,诗文实体,属于形式,be6715edcbe7db8f,形式实体,雁门太守行 → 属于形式 → 诗
4c7868ec4409,诗文实体,属于形式,be6715edcbe7db8f,形式实体,燕歌行·并序 → 属于形式 → 诗
b9e14c6e09aa,诗文实体,属于形式,be6715edcbe7db8f,形式实体,出塞 → 属于形式 → 诗
9312f5349cd7,诗文实体,属于形式,be6715edcbe7db8f,形式实体,凉州词 → 属于形式 → 诗
d1129db241ec,诗文实体,属于形式,be6715edcbe7db8f,形式实体,从军行七首·其四 → 属于形式 → 诗
ad6f7cfa10c2,诗文实体,属于形式,be6715edcbe7db8f,形式实体,月夜忆舍弟 → 属于形式 → 诗
3963afd966bc,诗文实体,属于形式,be6715edcbe7db8f,形式实体,凉州词二首·其一 → 属于形式 → 诗
b12f5b4193fd,诗文实体,属于形式,be6715edcbe7db8f,形式实体,关山月 → 属于形式 → 诗
10d21c96ba71,诗文实体,属于形式,be6715edcbe7db8f,形式实体,逢入京使 → 属于形式 → 诗
55174e6ebe20,诗文实体,属于形式,be6715edcbe7db8f,形式实体,马诗二十三首·其五 → 属于形式 → 诗
43b3cbe749a9,诗文实体,属于形式,be6715edcbe7db8f,形式实体,从军行 → 属于形式 → 诗
d89eb1125b6d,诗文实体,属于形式,be6715edcbe7db8f,形式实体,夜上受降城闻笛 → 属于形式 → 诗
9a9463173105,诗文实体,属于形式,be6715edcbe7db8f,形式实体,塞下曲 → 属于形式 → 诗
5cf2a57f35f2,诗文实体,属于形式,be6715edcbe7db8f,形式实体,少年行四首 → 属于形式 → 诗
5f118f979884,诗文实体,属于形式,c809738f22126c36,形式实体,蝶恋花·出塞 → 属于形式 → 词
8c19637abf6f,诗文实体,属于形式,be6715edcbe7db8f,形式实体,塞下曲六首·其一 → 属于形式 → 诗
a8f44614071a,诗文实体,属于形式,be6715edcbe7db8f,形式实体,池上 → 属于形式 → 诗
58699ebb5e93,诗文实体,属于形式,be6715edcbe7db8f,形式实体,所见 → 属于形式 → 诗
200d28227643,诗文实体,属于形式,be6715edcbe7db8f,形式实体,小儿垂钓 → 属于形式 → 诗
be04bba6288c,诗文实体,属于形式,be6715edcbe7db8f,形式实体,村晚 → 属于形式 → 诗
a55ac6fe8a38,诗文实体,属于形式,be6715edcbe7db8f,形式实体,闲居初夏午睡起·其一 → 属于形式 → 诗
4bb194abd528,诗文实体,属于形式,be6715edcbe7db8f,形式实体,稚子弄冰 → 属于形式 → 诗
705ee4ad5c5f,诗文实体,属于形式,be6715edcbe7db8f,形式实体,牧童诗 → 属于形式 → 诗
486a03cdbd29,诗文实体,属于形式,be6715edcbe7db8f,形式实体,牧童 → 属于形式 → 诗
